Source,Target,Label,ID,Type,Weight
5,[],'vibhaag',,,
20,84,'vibhaag',,,
14,[],'vibhaag',,,
13,84,'vibhaag',,,
2,[],'vibhaag',,,
8,[],'vibhaag',,,
17,[],'vibhaag',,,
15,[],'vibhaag',,,
11,[],'vibhaag',,,
19,[],'vibhaag',,,
18,[],'vibhaag',,,
24,82,'vibhaag',,,
21,[],'vibhaag',,,
7,86,'vibhaag',,,
4,[],'vibhaag',,,
12,[],'vibhaag',,,
9,[],'vibhaag',,,
16,[],'vibhaag',,,
22,[],'vibhaag',,,
23,[],'vibhaag',,,
10,[],'vibhaag',,,
3,[],'vibhaag',,,
1,86,'vibhaag',,,
6,[],'vibhaag',,,
5,[],'vibhaag',,,
20,[],'vibhaag',,,
14,[],'vibhaag',,,
13,86,'vibhaag',,,
2,[],'vibhaag',,,
8,[],'vibhaag',,,
17,[],'vibhaag',,,
15,[],'vibhaag',,,
11,[],'vibhaag',,,
19,[],'vibhaag',,,
18,[],'vibhaag',,,
24,83,'vibhaag',,,
21,[],'vibhaag',,,
7,[],'vibhaag',,,
4,[],'vibhaag',,,
12,[],'vibhaag',,,
9,[],'vibhaag',,,
16,[],'vibhaag',,,
22,[],'vibhaag',,,
23,[],'vibhaag',,,
10,[],'vibhaag',,,
3,[],'vibhaag',,,
1,[],'vibhaag',,,
6,[],'vibhaag',,,
5,[],'vibhaag',,,
20,[],'vibhaag',,,
14,[],'vibhaag',,,
13,88,'vibhaag',,,
2,[],'vibhaag',,,
8,[],'vibhaag',,,
17,[],'vibhaag',,,
15,[],'vibhaag',,,
11,[],'vibhaag',,,
19,[],'vibhaag',,,
18,[],'vibhaag',,,
24,85,'vibhaag',,,
21,[],'vibhaag',,,
7,[],'vibhaag',,,
4,[],'vibhaag',,,
12,[],'vibhaag',,,
9,[],'vibhaag',,,
16,[],'vibhaag',,,
22,[],'vibhaag',,,
23,[],'vibhaag',,,
10,[],'vibhaag',,,
3,[],'vibhaag',,,
1,[],'vibhaag',,,
6,[],'vibhaag',,,
5,[],'vibhaag',,,
20,[],'vibhaag',,,
14,[],'vibhaag',,,
13,90,'vibhaag',,,
